0	7.89364	1.12284	6.73295	0.98594	9.87935	5.9749	7.59327	8.09204	7.51946
7.89364	0	7.84428	4.29564	1.42027	1.70432	3.35311	7.40648	7.48619	2.28669
1.12284	7.84428	0	4.51739	1.68251	2.57792	2.99225	7.43688	1.20187	0.64187
6.73295	4.29564	4.51739	0	1.96249	3.96799	4.52593	1.0592	5.25045	7.6733
0.98594	1.42027	1.68251	1.96249	0	0.73995	4.22646	6.8156	3.25834	6.71202
9.87935	1.70432	2.57792	3.96799	0.73995	0	3.59606	4.63261	5.46449	7.15213
5.9749	3.35311	2.99225	4.52593	4.22646	3.59606	0	2.12163	3.98881	6.42061
7.59327	7.40648	7.43688	1.0592	6.8156	4.63261	2.12163	0	4.15093	4.19048
8.09204	7.48619	1.20187	5.25045	3.25834	5.46449	3.98881	4.15093	0	3.90762
7.51946	2.28669	0.64187	7.6733	6.71202	7.15213	6.42061	4.19048	3.90762	0
